"","x"
"688","2900092C05Rik"
"689","2900092E17Rik"
"690","3000002C10Rik"
"691","3010026O09Rik"
"692","3100002H09Rik"
"693","3110001D03Rik"
"694","3110002H16Rik"
"695","3110002H16Rik|Npc1"
"696","3110003A17Rik"
"697","3110007F17Rik"
"698","3110009E18Rik"
"699","3110018I06Rik"
"700","3110021A11Rik"
"701","3110040N11Rik"
"702","3110043A19Rik"
"703","3110043O21Rik"
"704","3110047P20Rik"
"705","3110057O12Rik"
"706","3110070M22Rik"
"707","3110070M22Rik|Gm7120"
"708","3110079O15Rik"
"709","3110082D06Rik"
"710","3110082I17Rik"
"711","3110082I17Rik|C130050O18Rik"
"712","3110082I17Rik|Gper"
"713","3110082I17Rik|Gpr146"
"714","3200002M19Rik"
"715","3200002M19Rik|Tomt"
"716","3222401L13Rik"
"717","3230401D17Rik"
"718","3300002I08Rik"
"719","3632451O06Rik"
"720","3830403N18Rik"
"721","3830406C13Rik"
"722","3830408C21Rik"
"723","3830417A13Rik"
"724","3830431G21Rik"
"725","3930402G23Rik"
"726","4430402I18Rik"
"727","4430402I18Rik|Ppapdc2"
"728","4432412L15Rik"
"729","4631416L12Rik"
"730","4632404H12Rik"
"731","4632411B12Rik"
"732","4632415K11Rik"
"733","4632415L05Rik"
"734","4632427E13Rik"
"735","4632433K11Rik"
"736","4632433K11Rik|Zfp784"
"737","4632434I11Rik"
"738","4731417B20Rik"
"739","4732415M23Rik"
"740","4732418C07Rik"
"741","4732440D04Rik"
"742","4732444A12Rik"
"743","4732456N10Rik"
"744","4732465J04Rik"
"745","4732471D19Rik"
"746","4732471J01Rik"
"747","4732471J01Rik|Lipe"
"748","4831426I19Rik"
"749","4832428D23Rik"
"750","4833403I15Rik"
"751","4833412L08Rik"
"752","4833413E03Rik"
"753","4833420G17Rik"
"754","4833420G17Rik|AC163689.1"
"755","4833422C13Rik"
"756","4833422C13Rik|Acot12"
"757","4833422F24Rik"
"758","4833423E24Rik"
"759","4833424O15Rik"
"760","4833427G06Rik"
"761","4833439L19Rik"
"762","4833442J19Rik"
"763","4921501E09Rik"
"764","4921504E06Rik"
"765","4921506J03Rik"
"766","4921506M07Rik"
"767","4921507L20Rik"
"768","4921507L20Rik|Alkbh3"
"769","4921507P07Rik"
"770","4921508D12Rik"
"771","4921508M14Rik"
"772","4921509C19Rik"
"773","4921511C20Rik"
"774","4921511H03Rik"
"775","4921511M17Rik"
"776","4921513D23Rik"
"777","4921513I03Rik"
"778","4921515J06Rik"
"779","4921517D21Rik"
"780","4921517D22Rik"
"781","4921517L17Rik"
"782","4921521F21Rik"
"783","4921522P10Rik"
"784","4921523A10Rik"
"785","4921524J17Rik"
"786","4921524L21Rik"
"787","4921528I01Rik"
"788","4921528I07Rik"
"789","4921528I07Rik|Bcl2a1d"
"790","4921528O07Rik"
"791","4921530L21Rik"
"792","4921536K21Rik"
"793","4921539E11Rik"
"794","4922501C03Rik"
"795","4922501L14Rik"
"796","4922502B01Rik"
"797","4922502D21Rik"
"798","4922505E12Rik"
"799","4922505G16Rik"
"800","4922505G16Rik|Rpn2"
"801","4930402E16Rik"
"802","4930402F06Rik"
"803","4930402H24Rik"
"804","4930402K13Rik"
"805","4930403L05Rik"
"806","4930403N07Rik"
"807","4930404A10Rik"
"808","4930404A10Rik|RP23-297J14.5"
"809","4930404H21Rik"
"810","4930408F14Rik"
"811","4930408G06Rik"
"812","4930408O17Rik"
"813","4930408O21Rik"
"814","4930412D23Rik"
"815","4930412F15Rik"
"816","4930415F15Rik"
"817","4930415L06Rik"
"818","4930415O20Rik"
"819","4930417G10Rik"
"820","4930417M19Rik"
"821","4930417O22Rik"
"822","4930420K17Rik"
"823","4930422G04Rik"
"824","4930422I07Rik"
"825","4930425F17Rik"
"826","4930426D05Rik"
"827","4930426L09Rik"
"828","4930427A07Rik"
"829","4930428D18Rik"
"830","4930428E23Rik"
"831","4930429B21Rik"
"832","4930430A15Rik"
"833","4930430F08Rik"
"834","4930431F12Rik"
"835","4930431L04Rik"
"836","4930432E11Rik"
"837","4930432K21Rik"
"838","4930432M17Rik"
"839","4930432O21Rik"
"840","4930433I11Rik"
"841","4930433N12Rik"
"842","4930434E21Rik"
"843","4930435E12Rik"
"844","4930435H24Rik"
"845","4930438A08Rik"
"846","4930441O14Rik"
"847","4930441O14Rik|Zfp85-rs1"
"848","4930442E04Rik"
"849","4930443G12Rik"
"850","4930444A02Rik"
"851","4930444P10Rik"
